,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
84575,185,264278,5.0,60.0,10.0,2.0,45.0,Dice Upon a Time,2019,"Istvan Szauer,Tosin Matteo","Adventure,Book,Dice,Fantasy",,Istvan Szauer,"Admin: Unreleased Games,Crowdfunding: Kickstarter","Action Queue,Dice Rolling,Pick-up and Deliver,Role Playing,Take That",Korona Games,114,7.02819
84576,186,264282,6.0,50.0,18.0,2.0,50.0,Red Light: A Star is Porn,2018,"Milo Manara,Marco Albiero","Card Game,Humor,Mature / Adult",,Immanuel Casto,,,Freak & Chic LLC,126,5.69365
84584,194,264314,6.0,35.0,10.0,2.0,25.0,Crave,2019,"Randis Albion,Aaron Griffin,Artur Jag,Daria Rashevskaya","Card Game,Fantasy,Fighting",,Bryan Sloan,"Creatures: Vampires,Crowdfunding: Kickstarter","Card Drafting,Deck, Bag, and Pool Building,Hand Management,Take That,Team-Based Game,Variable Player Powers",Black Forest Studio,127,7.04055
84586,196,264321,4.0,60.0,12.0,2.0,60.0,Dead Man's Cabal,2019,"Henning Ludvigsen,Denis Medri","Fantasy,Zombies",,Daniel Newman,Crowdfunding: Kickstarter,"Action Queue,Variable Phase Order",Pandasaurus Games,308,6.79657
84622,232,264452,4.0,20.0,8.0,2.0,20.0,High Risk,2019,Biboun,,,"Trevor Benjamin,Brett J. Gilbert","Admin: Better Description Needed!,Series: Mini Games (IELLO),Sports: Mountain Climbing",Push Your Luck,IELLO,235,6.08753
84625,235,264476,4.0,120.0,12.0,1.0,60.0,Rangers of Shadow Deep,2018,"Eneko Menica,Barrett Stanley","Book,Dice,Fantasy,Fighting,Miniatures,Wargame",,Joseph McCullough,"Game: Rangers of Shadow Deep,Players: Games with Solitaire Rules","Action Points,Cooperative Game,Dice Rolling,Role Playing,Variable Player Powers","(Self-Published),23rd Chamber,HT Publishers,Tiny Furniture",341,8.70401
84656,266,264637,2.0,45.0,12.0,2.0,45.0,Yokohama Duel,2018,"Scott Hartman,Hisashi Hayashi,Adam P. McIver,Ryo Nyamo",Economic,,Hisashi Hayashi,"Cities: Yokohama (Japan),Game: Yokohama,Players: Two Player Only Games,Versions & Editions: Two-Player Versions of More-Player Games","Set Collection,Worker Placement","OKAZU Brand,Tasty Minstrel Games",270,7.53115
84660,270,264647,4.0,60.0,10.0,1.0,30.0,Age of Civilization,2019,,"Ancient,Civilization",,Jeffrey CCH,"Crowdfunding: Kickstarter,Mechanism: Tableau Building,Players: Games with Solitaire Rules","Action Points,Increase Value of Unchosen Resources,Solo / Solitaire Game,Tech Trees / Tech Tracks,Variable Player Powers",ICE Makes,1241,7.1581
84698,308,264806,10.0,15.0,13.0,4.0,15.0,We're Doomed!,2019,Mike Horton,"Card Game,Civilization,Negotiation,Party Game",,Mike Horton,,"Auction/Bidding,Player Elimination,Variable Player Powers,Voting","Breaking Games,Magellan",495,6.57654
84722,332,264925,4.0,70.0,14.0,2.0,40.0,Nocturion,2019,Damien Mammoliti,"Fantasy,Medieval",,George Skourtis,Crowdfunding: Kickstarter,"Dice Rolling,Variable Player Powers,Worker Placement",Vesuvius Media,250,6.61104
