Unnamed: 0,Unnamed: 0.1,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating,x,y,z
50707,251,117914,4.0,60.0,10.0,2.0,60.0,Milestones,2012,Klemens Franz,Territory Building,,"Stefan Dorra,Ralf zur Linde",,"Network and Route Building,Rondel,Tile Placement","eggertspiele,Pegasus Spiele,Stronghold Games",1106,6.58145,-58.23782,-28.192036,-5.0370846
50708,252,117915,5.0,180.0,14.0,2.0,120.0,Yedo,2012,Franz Vohwinkel,Medieval,,"Thomas Vande Ginste,Wolf Plancke","Country: Japan,Game: Yedo","Action Queue,Auction/Bidding,Hand Management,Map Deformation,Set Collection,Worker Placement","eggertspiele,IDW Games,IELLO,Pandasaurus Games,Pegasus Spiele",3519,7.37486,43.444115,20.19821,-11.5755
50720,264,117942,4.0,15.0,7.0,2.0,15.0,Zooloretto: The Dice Game,2012,Design/Main,"Animals,Dice",,Michael Schacht,"Components: Dice with Icons,Digital Implementations: Yucata,Game: Coloretto,Mechanism: Roll-and-Write,Versions & Editions: Dice Versions of Non-Dice Games","Dice Rolling,Paper-and-Pencil,Set Collection","ABACUSSPIELE,999 Games,Filosofia Éditions,White Goblin Games,Z-Man Games, Inc.",1878,6.39102,18.347237,-22.36362,8.872547
50727,271,117959,5.0,30.0,8.0,2.0,30.0,Las Vegas,2012,"Harald Lieske,Markus Schmuck,Mia Steingräber",Dice,Las Vegas (with Boulevard expansion),Rüdiger Dorn,"Cities: Las Vegas (Nevada, USA),Digital Implementations: Yucata,Players: Games with expansions that add solo play,Series: Alea Medium Box","Area Majority / Influence,Dice Rolling","alea,Ravensburger,Broadway Toys LTD,Oya,VAKKO",9474,7.127,10.04073,-5.1942406,-0.31475416
50728,272,117960,5.0,45.0,9.0,2.0,45.0,Saint Malo,2012,"Julien Delval,Harald Lieske","City Building,Dice",,"Inka Brand,Markus Brand","Cities: Saint Malo (France),Components: Dice with Icons,Country: France,Mechanism: Roll-and-Write,Region: Brittany (France),Series: Alea Medium Box","Dice Rolling,Line Drawing,Paper-and-Pencil,Re-rolling and Locking","alea,Ravensburger",2170,6.45846,24.581253,-11.0357275,8.331106
50735,279,117985,4.0,75.0,10.0,3.0,75.0,Star Trek: Catan,2012,"Franz Vohwinkel,Imelda Vohwinkel","Movies / TV / Radio theme,Negotiation,Science Fiction",,Klaus Teuber,"Game: Catan,TV Shows: Star Trek (various)","Dice Rolling,Hand Management,Modular Board,Network and Route Building,Trading","Catan Studio,KOSMOS,999 Games,Devir,Filosofia Éditions,Giochi Uniti,Mayfair Games,Stupor Mundi",3306,7.00099,-23.15948,-17.592405,-10.419417
50737,281,117987,4.0,30.0,8.0,2.0,30.0,Einfach Genial: Das Würfelspiel,2012,Michaela Kienle,Dice,Ingenious Challenges,Reiner Knizia,"Components: Dice with Icons,Game: Ingenious,Mechanism: Roll-and-Write,Versions & Editions: Dice Versions of Non-Dice Games","Dice Rolling,Push Your Luck,Set Collection","KOSMOS,White Goblin Games",157,5.46603,18.769217,-2.0259526,57.558784
50739,283,117992,6.0,15.0,7.0,2.0,15.0,Shrimp,2012,"Mario Barbati,Philippe Briones,Paco Desiaco,Szoka","Card Game,Children's Game",,Roberto Fraga,,Pattern Recognition,"Asmodee,Blue Orange Games,Giochi Uniti,Maldón",255,5.83608,42.483147,-43.838425,36.46968
50740,284,117995,6.0,15.0,4.0,2.0,15.0,"Spot it! 1,2,3",2012,"Denis Blanchot,Jacques Cottereau,Anita Głowińska,Igor Polouchine","Animals,Card Game,Children's Game,Educational,Party Game,Real-time","Spot 'n Learn,Spot it! Match & Learn","Denis Blanchot,Jacques Cottereau","Game: Spot it!,Movies: Finding Nemo","Pattern Recognition,Speed Matching","Asmodee,Asmodee China,Asmodee Italia,Blue Orange Games,Brain Games,Galápagos Jogos,Gém Klub Kft.,Happy Baobab,Kaissa Chess & Games,Rebel Sp. z o.o.,Swan Panasia Co., Ltd.,Zygomatic",701,6.31834,52.405266,-49.817863,17.32333
50743,287,118000,4.0,60.0,8.0,2.0,60.0,Africana,2012,Franz Vohwinkel,"Adventure,Exploration,Travel",,Michael Schacht,Continents: Africa,"Card Drafting,Pick-up and Deliver,Point to Point Movement,Set Collection","ABACUSSPIELE,Albi,Filosofia Éditions,Lautapelit.fi,Z-Man Games, Inc.",1284,6.71556,-7.910674,-32.49061,-6.1856766
50747,291,118023,4.0,30.0,8.0,2.0,30.0,Keltis: Das Würfelspiel,2012,"Martin Hoffmann,Claus Stephan",Dice,,Reiner Knizia,"Components: Dice with Icons,Game: Lost Cities,Versions & Editions: Dice Versions of Non-Dice Games","Dice Rolling,Set Collection",KOSMOS,534,6.46098,11.412802,-6.1425877,11.050838
