game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
5001,24,60,9,4,60,Telepaths,60,1992,"Party Game,Word Game",,Brian C. Larson,,Partnerships,"Albi,Brainstorm Games, Inc.,Fun Connection,Outset Media",5.99366,71,66.041046,35.109177,38.291866
5002,36,60,10,1,60,Pro Golf,60,1981,"Dice,Sports",,Rick Byrd,Pro Golf: Player Cards,Dice Rolling,Avalon Hill,5.46667,126,50.934906,-42.761993,-48.274204
5012,4,30,12,2,30,Snit Smashing,30,1977,"Fantasy,Racing,Science Fiction",,Tom Wham,,,"Steve Jackson Games,TSR",5.53364,143,18.707697,8.615168,-45.444897
5014,8,20,6,2,20,Hands Up,20,2002,"Action / Dexterity,Card Game",,Jacques Zeimet,,Pattern Building,"R&R Games,Schmidt Spiele,Swan Panasia Co., Ltd.",5.98868,349,25.522573,67.7776,24.050028
5015,4,10,3,2,10,Don't Spill the Beans,10,1957,"Action / Dexterity,Children's Game",,(Uncredited),,,"Bluebird Toys,Milton Bradley,Schaper",4.23317,259,36.810993,35.31007,-62.250774
5018,8,60,6,2,60,Fishin' Time,60,1986,"Dice,Sports",,(Uncredited),,Roll / Spin and Move,"Distinctive Games, Inc.",4.30738,61,51.122604,-43.692265,-61.773235
5021,2,360,14,2,360,The Struggle of Nations,360,1982,"Napoleonic,Wargame",,Kevin Zucker,,Hex-and-Counter,Avalon Hill,6.12195,205,-88.646774,-12.97888,44.199997
5023,2,240,12,2,240,The Conquerors,240,1977,"Ancient,Wargame",,Richard H. Berg,,Hex-and-Counter,"Excalibre Games, Inc.,SPI (Simulations Publications, Inc.)",6.82676,71,-41.854683,-12.046639,-22.89863
5029,8,120,8,2,120,Monopoly: Star Wars Episode 1,120,1999,"Economic,Movies / TV / Radio theme,Negotiation,Science Fiction",,(Uncredited),,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading","Hasbro,Parker Brothers,Waddington's Games, Inc.",5.2318,434,17.35085,-51.18172,-38.081814
5034,6,240,12,2,240,Empire of the Rising Sun,240,1995,"Wargame,World War II",,"Tor Abrahamsen,Dave Casper,Bruce Harper",,"Dice Rolling,Hex-and-Counter",Avalon Hill,6.58855,179,-40.430347,40.392445,10.7644
5035,2,180,12,2,180,Panzer Armee Afrika,180,1973,"Wargame,World War II",,Jim Dunnigan,,Hex-and-Counter,"Avalon Hill,SPI (Simulations Publications, Inc.)",6.14116,284,-51.175945,46.10554,43.95618
5038,2,180,12,2,180,"Druid: Boudicca's Rebellion, 61 A.D.",180,1984,"Ancient,Wargame",,Richard H. Berg,,Hex-and-Counter,West End Games,6.95976,82,-41.844585,-12.28377,-19.798584
5039,4,180,12,2,180,"Battle for North Africa: War in the Desert, 1940-42",180,1996,"Wargame,World War II",,Richard H. Berg,,"Chit-Pull System,Hex-and-Counter",GMT Games,5.57887,97,-71.91588,-11.59598,-35.665127
5041,4,90,12,2,90,IDF (Israeli Defense Force),90,1993,"Modern Warfare,Wargame",,James M. Day,,"Hex-and-Counter,Modular Board,Simultaneous Action Selection",Avalon Hill,6.93902,123,-77.17366,7.949072,-20.197979
5042,2,360,12,2,360,Flashpoint: Golan,360,1991,"Modern Warfare,Wargame",,Mark Herman,,Hex-and-Counter,Victory Games (I),7.19531,128,-77.77064,5.1613235,-8.2088375
5045,2,180,12,2,180,Rommel's War,180,1985,"Wargame,World War II",,Vance von Borries,,Hex-and-Counter,"L2 Design Group,Quarterdeck Games",7.22034,59,-55.75583,45.997948,-7.842215
5050,10,0,8,2,0,The Worst-Case Scenario Survival Game,0,2002,Trivia,,(Uncredited),,,University Games,3.22707,477,79.064415,16.997856,-65.06629
5051,4,240,12,2,240,La Grande Armee,240,1987,"Napoleonic,Wargame",,Mark Acres,,"Hex-and-Counter,Simulation","SPI (Simulations Publications, Inc.),TSR",5.13333,69,-92.71471,-17.803701,-36.71753
5052,2,180,12,2,180,"Austerlitz: The Battle of Three Emperors, 2 December 1805",180,1972,"Napoleonic,Wargame",,John Young,,"Hex-and-Counter,Simulation","SPI (Simulations Publications, Inc.)",6.23983,59,-92.714516,-17.803843,47.458595
5054,2,60,12,2,60,War in the Falklands,60,1982,"Modern Warfare,Wargame,World War I",,"Bill Fawcett,Jim Griffin",,"Area Movement,Secret Unit Deployment",Mayfair Games,5.81607,56,-85.16513,25.351587,-27.016468
5058,2,300,0,2,300,Operation Crusader,300,1978,"Wargame,World War II",,Frank Chadwick,,"Hex-and-Counter,Simulation",GDW Games,7.34672,61,-58.760075,30.057858,13.592508
5060,2,300,14,2,300,Caesar in Alexandria,300,2001,"Ancient,Nautical,Wargame",,"Richard H. Berg,Mark Herman,Alan J. Ray",,Hex-and-Counter,GMT Games,6.87457,116,-45.625137,-11.801164,-21.824347
5065,2,20,6,2,20,Fubi,20,2001,"Action / Dexterity,Sports",,Ivo Orlovic,,,FUBI-Spielvertrieb,6.70278,72,57.48372,-39.83378,-12.331395
5077,4,20,8,2,20,Chaos,20,1970,"Abstract Strategy,Memory",,(Uncredited),,"Memory,Secret Unit Deployment","Airfix,Buchclub,Lakeside,Parker Brothers,Schmidt Spiele",5.39804,51,53.70946,17.734854,-41.76491
5082,6,60,8,2,60,Rush Hour,60,1981,"Maze,Transportation",,(Uncredited),,Roll / Spin and Move,"Binary Arts,Everyday Game Co.",6.17821,145,14.428759,56.86241,52.631954
5086,4,60,9,2,60,Electronic Mall Madness,60,1989,"Children's Game,Economic,Electronic",,Michael Gray,,Roll / Spin and Move,"MB Jeux,MB Spellen,MB Spiele,Milton Bradley",5.47208,240,52.92858,28.301676,-48.14457
5107,4,30,10,3,30,Pyramid: Home Game,30,1974,"Movies / TV / Radio theme,Party Game,Trivia,Word Game",,"Jean-Loup Druon,Delphine Druon,Anne Malbrel,Bob Stewart",,Partnerships,"Cardinal,Druon,Endless Games (I),Milton Bradley",6.07806,98,65.16421,34.068832,41.77704
5120,4,30,8,2,30,Doubles Wild,30,2001,"Abstract Strategy,Dice",,Andy Daniel,,"Dice Rolling,Pattern Building,Pattern Recognition",Enginuity,6.00807,57,40.83049,63.99221,38.975693
5129,6,30,8,2,30,The Simpsons: LOSER Takes All!,30,2001,"Movies / TV / Radio theme,Party Game",,Sheri Robinette,,,RoseArt,3.81365,96,34.340446,20.607283,-64.321304
5130,6,45,4,2,45,Afrikan tähti,45,1951,"Children's Game,Exploration",,Kari Mannerla,Afrikan tähti: Retkikunnat,"Point to Point Movement,Roll / Spin and Move","Alga,Aristospel,Brio AB,Carlit,Damm / Egmont,Joker,Kuvataide,Majora,Paletti,Peliko,Piatnik,Spear's Games,Vaba Maa,Waddington's Games, Inc.",4.62356,914,7.147154,8.3803835,-57.9274
5135,6,45,10,3,45,Malarky,45,1996,"Bluffing,Party Game,Trivia",,David Feldman,,Voting,"Damm / Egmont,O2 Games, Inc.,Patch Products",5.62078,348,79.203476,7.0506005,-33.982082
5136,4,20,4,2,20,Piraten-Abenteuer,20,1991,"Children's Game,Nautical,Pirates",The 15 Greatest Board Games in the World,Wolfgang Kramer,,"Co-operative Play,Roll / Spin and Move","AMIGO Spiel + Freizeit GmbH,Asmodee,Herder Spiele",6.29375,64,23.629967,-38.004353,36.54211
5142,2,240,12,2,240,Fighting Sail: Sea Combat in the Age of Canvas and Shot 1775-1815,240,1981,"Age of Reason,American Revolutionary War,Napoleonic,Nautical,Wargame",,Joseph M. Balkoski,,"Hex-and-Counter,Simulation","SPI (Simulations Publications, Inc.)",6.53548,124,-44.799488,-41.401108,18.920162
5143,4,120,10,1,120,GolfProfi,120,2002,Sports,,Albrecht Nolte,,Dice Rolling,AZA Spiele,6.79301,93,52.459576,-41.713142,-14.826168
5146,6,45,8,1,45,CrossCribb,45,1996,Card Game,,"Steve Barry,Tony Nelson",,"Card Drafting,Hand Management,Partnerships,Pick-up and Deliver","Maynard's,Outset Media",6.38088,68,3.6353152,-4.596682,32.902096
5155,4,30,12,2,30,Dorada,30,1988,"Abstract Strategy,Children's Game",,Rudi Hoffmann,,Roll / Spin and Move,Ravensburger Spieleverlag GmbH,6.22673,101,5.703757,8.211578,49.059437
5157,2,20,7,2,20,King's Court,20,1986,Abstract Strategy,,Christopher Wroth,,Grid Movement,"Golden,MW Games,Western Publishing Company",6.41191,131,12.346707,43.37113,31.846966
5162,2,20,8,2,20,Chinese Chess,20,1981,Abstract Strategy,,(Uncredited),,Grid Movement,"Gabriel,Peter Pan Playthings",6.09367,79,12.583285,43.990566,44.612988
5166,4,20,8,2,20,Express Monopoly Card Game,20,1993,"Card Game,Children's Game,Economic",,(Uncredited),,"Card Drafting,Set Collection","Hasbro,Parker Brothers,Tonka Corporation",5.05851,94,-4.8591137,-14.672051,-51.254257
5167,2,30,0,2,30,Rubik's Illusion,30,1989,Abstract Strategy,,"Joe Dibley,Mark Setteducati",,Pattern Building,Matchbox,5.91293,58,33.4535,70.54788,25.934254
5171,6,360,12,2,360,War Without Mercy,360,1998,"Wargame,World War II",,Rob Beyma,,"Hex-and-Counter,Simulation",Clash of Arms Games,7.045,140,-59.018265,30.500076,-18.289362
5172,5,240,10,2,240,Blitzkrieg General,240,1999,"Wargame,World War II",,Udo Grebe,,Area Movement,Udo Grebe Gamedesign,6.31429,91,-47.005898,37.37377,35.36026
5173,2,240,12,2,240,Avalanche: The Invasion of Italy,240,1994,"Wargame,World War II",,Brian L. Knipple,,Hex-and-Counter,Avalanche Press Ltd.,6.41912,68,-53.67983,50.130096,31.771698
5177,4,90,0,2,90,Drakborgen Legenden,90,2002,"Exploration,Fantasy,Maze",,"Jakob Bonds,Gustav Bonds",,"Modular Board,Partnerships,Role Playing,Tile Placement,Variable Player Powers",Alga,5.88349,212,10.619495,58.12111,-24.402906
5178,4,20,6,2,20,Marrakesh,20,2002,"Children's Game,Racing",,Manfred Ludwig,,Modular Board,HABA - Habermaaß GmbH,6.28046,151,21.354324,7.6129837,46.565674
5181,2,180,12,2,180,Operation Cannibal,180,1996,"Wargame,World War II",,Brian L. Knipple,,"Chit-Pull System,Dice Rolling,Hex-and-Counter,Simulation",Avalanche Press Ltd.,4.87698,63,-72.442154,-9.755405,-54.822224
5182,2,120,12,2,120,The African Campaign,120,1973,"Wargame,World War II",,John Edwards,,Hex-and-Counter,"Jedko Games,Kokusai-Tsushin Co., Ltd. (国際通信社),TSR",6.44239,92,-54.652447,49.19018,31.189285
5183,4,360,12,1,360,Austerlitz,360,1993,"Napoleonic,Wargame",,"Dean Essig,David A. Powell",,Hex-and-Counter,The Gamers,6.53241,108,-87.23061,-12.302504,18.973642
5185,2,120,12,2,120,Field Marshal,120,1976,Wargame,,John Edwards,,Hex-and-Counter,"Jedko Games,Kokusai-Tsushin Co., Ltd. (国際通信社)",5.67458,59,-23.428211,20.34441,-32.74287
5186,6,240,12,1,240,King Arthur and the Knights of the Round Table,240,1986,"Economic,Fighting,Medieval,Negotiation,Wargame",,"Matthew Hill,Julian Musgrave,Chris Russell,Jamie Walker",,"Area Movement,Card Drafting,Role Playing","Laurin Verlag,Oriflam,Wotan Games",6.14018,112,-0.04582387,44.358532,51.503872
5193,2,60,12,2,60,The Fury of the Norsemen,60,1981,"Medieval,Wargame",,Kevin Hendryx,,Hex-and-Counter,Metagaming,5.83088,68,-23.18176,0.43045747,-25.495508
