game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
166372,6,50,8,2,20,Artificium,50,2014,"Card Game,Industry / Manufacturing,Medieval",,Timofey Shargorodskiy,,"Card Drafting,Simultaneous Action Selection,Trading","Asmodee,Lifestyle Boardgames Ltd",6.22595,559,-38.551983,-27.019989,2.495084
166384,8,15,12,3,15,Spyfall,15,2014,"Bluffing,Deduction,Humor,Party Game,Spies/Secret Agents",,Alexandr Ushan,"Spyfall: Cathedral promo cards,Spyfall: Gaming Convention promo cards,Spyfall: Ice Hockey Stadium promo cards,Spyfall: The Box Is Not Enough","Role Playing,Voting","Hobby World,BoardM Factory,Brain Games,Competo / Marektoy,Cryptozoic Entertainment,Desyllas Games,dV Giochi,Gigamic,Hemz Universal Games Co. Ltd.,Jumping Turtle Games,Ludicus,Mandoo Games,NeoTroy Games,Piatnik,Planplay,REBEL.pl,REXhry,Zacatrus,Zhiyanjia",7.2134,10317,35.571075,31.486847,-45.24359
166418,5,45,14,1,30,Darkrock Ventures,45,2016,"Dice,Farming,Science Fiction,Space Exploration",,"Andrew Christopher Enriquez,Michael Eskue",Darkrock Ventures: Expansion Pack #1,"Area Control / Area Influence,Dice Rolling,Pick-up and Deliver,Variable Player Powers,Worker Placement","Gamelyn Games,Magic Meeple Games",7.10059,101,-62.633793,-16.012144,37.871834
166436,4,45,12,2,45,In Flanders Field,45,2014,World War I,,Martin Wallace,,"Card Drafting,Dice Rolling,Player Elimination,Press Your Luck","Bard Centrum Gier,Sophisticated Games",6.37762,130,71.51347,-29.07636,63.746593
166532,4,20,8,2,20,Cubo,20,2014,"Dice,Real-time",,"Johannes Berger,Julien Gupta","Cubo Queenie 1: Special Dice,Cubo Queenie 2: Combinations,Cubo Queenie 3: Diagonals","Dice Rolling,Pattern Building,Set Collection",Queen Games,5.68739,167,-41.060593,23.949842,34.99209
166571,5,120,14,1,120,Tramways,120,2016,"City Building,Trains,Transportation",,Alban Viard,Tramways Expansion: Paris / New York,"Auction/Bidding,Deck / Pool Building,Hand Management,Pick-up and Deliver,Route/Network Building,Tile Placement",AVStudioGames,7.41076,396,-55.415573,-32.68589,8.123542
166633,4,0,7,2,15,Bounce-Off,0,2013,"Abstract Strategy,Action / Dexterity,Party Game",,,,Pattern Building,Mattel,5.85352,219,-42.825745,28.924595,17.651726
166640,4,120,13,2,90,Prime Time,120,2015,"Economic,Movies / TV / Radio theme",,Elad Goldsteen,,"Area Control / Area Influence,Auction/Bidding,Hand Management",Golden Egg Games,6.03414,227,-15.288871,-7.0695133,12.587409
166658,5,15,7,2,15,Bakerspeed,15,2014,"Dice,Real-time",,Marko Jelen,,Dice Rolling,Österreichisches Spiele Museum e.V.,4.85157,127,-19.329357,20.686367,58.68366
166661,4,45,8,2,45,Paititi,45,2014,Card Game,,Walter Schranz,,,Österreichisches Spiele Museum e.V.,5.39091,55,0.50678027,19.261023,-21.152273
166669,4,60,10,2,45,San Juan (second edition),60,2014,"Card Game,City Building,Economic",,Andreas Seyfarth,,"Hand Management,Set Collection,Variable Phase Order","alea,Broadway Toys LTD,Giochi Uniti,Ravensburger Spieleverlag GmbH",7.66589,2462,-18.148396,-24.419758,-35.594086
166710,4,30,8,1,30,Dragon's Ransom,30,2015,"Card Game,Fantasy",,Tony Go,,"Co-operative Play,Set Collection","(Self-Published),Tau Leader Games",6.33581,74,15.416833,-1.6285962,-0.1639704
166726,8,60,12,3,60,Richard I,60,2014,Medieval,,Andrea Chiarvesio,,"Co-operative Play,Partnerships,Variable Player Powers","District Games,First Editions",7.05458,120,13.351618,0.85481757,53.58775
166776,4,0,14,1,120,Skull Tales,0,2015,"Fantasy,Fighting,Miniatures,Nautical,Pirates",,David Illescas,,"Action Point Allowance System,Co-operative Play,Dice Rolling,Modular Board,Role Playing,Simultaneous Action Selection",4Moon Studio,8.25884,164,15.181792,13.791824,35.565666
166857,6,120,13,3,90,Antike II,120,2014,"Ancient,Civilization,Fighting,Nautical,Territory Building",,Mac Gerdts,,"Area Control / Area Influence,Area Movement","PD-Verlag,Cranio Creations,Oya,Rio Grande Games",7.54168,712,-12.523652,-38.677376,-14.574689
166858,5,60,13,3,60,Villainous Vikings (Second Edition),60,2014,"Fighting,Medieval,Mythology",,"Jeremy Stoltzfus,Graham Weaver",Villainous Vikings (Second Edition): Ernie the Geek Promo,"Action Point Allowance System,Card Drafting,Dice Rolling,Set Collection,Variable Player Powers",Victory Point Games,7.17937,63,6.150788,-24.926146,-31.57122
166859,4,60,14,2,60,Web of Spies,60,2014,Spies/Secret Agents,,Cole Medeiros,Web of Spies: Secret Missions,"Deck / Pool Building,Hand Management,Press Your Luck,Take That","(Self-Published),(Web published)",7.703,100,39.058212,28.906029,37.484932
